Tweets,Sentiment
week iit great last discussion delhi dm panel,positive
even iit network claim delhi suck best,positive
quans busy sta represent indian conference control pa th year n,neutral
disgust,negative
fac iit pu like would rank rao delhi agencie director lot ramgopal thank,positive
,neutral
iit great delhi get insight engineer young talent sponsor event mgc,positive
given everyone talent pa winn amaz winner hackathon amp happy,positive
iit brainwave collaboration delhi alumnus jan hackathon organis association,neutral
iit twitt delhi alumnus,neutral
iit par love sir colonel kya delhi bhi bolte swamy clas,neutral
fac iit like would rank rao delhi agencie director ramgopal thank,positive
,neutral
iit launch icrc humanitarian platform policy technology,neutral
raman sir build iit delhi india side flagship organis busine hello inc,positive
iit good give primary blame iim suggestion education poll,negative
iitjee iit main crash stude delhi entrance course coach advanc th jee clas expe exam,negative
iit prestigiou delhi mba taught friend clas talk,positive
iit delhi street ppl go chor fai abt graduat amp tell delhi,neutral
attend iit delhi upload soon b video talk must,neutral
via editor cool,positive
onceamp indiamost attendance within wht see atleast iitiimuniv teach jnustudent must,neutral
,neutral
,neutral
iit sta vie student brainwave break hackathon,neutral
iit sta vie student brainwave break hackathon,neutral
student ful one turn solution lowcost home sma,positive
iit dowry scholar demand inlaw delhi hang shame india endles,negative
iit sta vie student brainwave break hackathon,neutral
iit sta vie student brainwave break hackathon,neutral
iit up sir delhi thank day experience hackathon nice,positive
iit humanitarian launch delhi cro platform committee policy international technology r,neutral
hum compliance warfare humanitarian aim international action new technologie,negative
cm people one since useles crack good delhi every new post fellow fit,negative
institute indian lohri technologyiitdelhi happy,positive
iit dowry scholar demand inlaw delhi hang shame india endles,negative
iit begin delhi pop chemical click,neutral
iit delhi one loveu every take new got barfi,neutral
heavy relationship temp ravindra drop prabhpreetsingh himn warm link amidst come,negative
given everyone talent winn amaz p winner hackathon amp happy,positive
savita toilet product hackathon develop fire delhi ka iit arora sonakshi payal paytm team ik sma krithika,negative
iit dowry scholar demand inlaw delhi hang shame india endles,negative
iit dowry scholar demand inlaw delhi hang shame india endles,negative
iit via sta student thesi delhi phd editor allow instead,positive
roorkee iit naa apne d h k delhi m mjhe ghar invitation mere,neutral
jayanti guest swami national banasthali proceeding youth vivekananda chief prof day,neutral
google proceedin guest swami national banasthali youth vivekananda chief jayanti new openpr day,neutral
ai one paniit jan let speak th folk iit delhi other catch forum exp h,neutral
compliance warfare humanitarian aim swarajyamag action new technologie,negative
compliance warfare humanitarian aim action new technologie internatio,negative
iit paytm delhi alumnus hackathon event association first,neutral
iit delhi miss special stratgetistturnedneta,positive
iit rfp medium delhi production digital documentary film,neutral
iit dowry scholar demand inlaw delhi hang shame india endles,negative
iit fantastic prov delhi alumnus unity oppo paytm organis association,positive
iit humanitarian launch delhi cro swarajyamag pl committee policy international technology r,neutral
meet b gadh panigrahi professor semin director rao v k dr ramgopal gave,neutral
iit playlist add delhi life tour infrastructure video campu hostel,neutral
iit great hackathon br delhi alumnus unity collaborat oppo tech paytm association best,positive
inau paytm head iitdaa mr india collab st vice build hackathon president,neutral
iit photo delhi post,neutral
home eden common interest voltage system feature high adjust develop fluctuation sma,positive
iit playlist add make delhi solution student video problem,positive
iit institute delhi alumnus two indian build hackathon organis india technology day association alon,neutral
iit twitt delhi alumnus,neutral
iit student ful one turn solution lowcost automat home sma,positive
iit dowry scholar demand inlaw delhi hang shame india endles,negative
islamist,neutral
sure end fami husband leave madnes moronic,negative
good fund get upindia innovation acces market hope,positive
iit student ful one turn solution lowcost automat home sma,positive
iit lik cane delhi aggarwal saksham video kajal message donate sma,positive
high shame take time action,negative
foundation given delhi suman neilom iit winn st muralikrishnan prize,positive
haptic vi science robotic reality dr mandayam healthcare ual touch lecture technology,neutral
iit delhi,neutral
scholar demand inlaw hang shame endles,negative
