Tweets,Sentiment
honesty india respect poo stoop much low pm personal defame problem,positive
crpf delhi bullet kumar personnel aiim meena trauma centre sustain mahesh new airlift injurie,negative
via group cc hospital aiim call ne,neutral
poor toilet ac l conx bulb ayushmanbharat house electricity lpg cr bank con,negative
metro doctor turn floor aiim j print nanny moth crowd amp sat enter,neutral
crpf delhi bullet kumar personnel aiim meena trauma inju centre sustain mahesh new airlift,negative
given lack room facility synergy hostel,negative
illnes group h hospital primary aiim numb navya sharma ne patient type,negative
injur crpf tral troop kashmir wound succumb aiim age,negative
,neutral
crpf delhi bullet kumar personnel aiim meena trauma inju centre sustain mahesh new airlift,negative
crpf month injurie area personnel aiim th injur succumb militant encount aripal tral,negative
injur crpf tral troop wound succumb aiim,negative
poor toilet ac l conx bulb house electricity lpg cr bank con,negative
lakh prope low gst restaurant r taxe y low inflationfood price amp emi reduc slab pma,negative
injur crpf tral troop wound succumb aiim,negative
sarcoma data neck team,neutral
injur crpf observ tral jk aiim succumb new encount man,neutral
mnrega,neutral
injur crpf tral troop wound succumb aiim,negative
injur crpf tral aiim succumb encount man,negative
injur gunfight crpf tral troop aiim jan die,negative
,neutral
via pl cc hospital aiim call bve unit,positive
kumar bullet bn sad meena sustain mahesh new injurie,negative
via cc hospital platelet aiim call blood bve ne donor,neutral
crpf delhi bullet kumar personnel aiim meena trauma inju centre sustain mahesh new airlift,negative
injur crpf skind central gulzar reserve polic tral aiim jan succumb srinagar encount man,negative
kumar delhi airlift personnel bulle aiim meena trauma centre sustain mahesh new,negative
kumar bullet airlift personnel inj aiim meena trauma centre sustain mahesh,negative
crpf delhi kumar personnel aiim meena trauma bul centre sustain mahesh new airlift,negative
crpf delhi bullet kumar personnel aiim meena trauma inju centre sustain mahesh new airlift,negative
injur crpf via tral ale aiim succumb encount man,negative
scan yet ct area xray chest taken pain around identi cause lat well,negative
injur crpf tral aiim succumb encount man,negative
injur crpf tral aiim succumb encount man,negative
today august ug alok time verma removal remind modi reality saw first,negative
aiim,neutral
injur crpf tral aiim succumb encount man,negative
injur force central crpf tral aiim wh succumb police reserve encount man,negative
poor toilet ac conx ayushmanbhar house electricity lpg cr bank con,negative
injur crpf tral aiim succumb encount man,negative
