Tweets,Sentiment
desperate need abd like jnu panick back discourse dear see know keyword lead sedition,negative
jnu,neutral
raga sheet jnu  team suppo actual charge open gang rahul,positive
abvp jnu read statement vindication issue,neutral
era jnu take bath anti half leftist nationalism mak,negative
jnu passe antinational age kanhaiya st repo truth vindication stage khalidampco like,positive
said janeu ve jnu dear lol vot stand na believ wear,positive
kumar under read india able chargesheet slogan kanhaiya khalid final umar anti amp,negative
a ka good jnu doom prison hole rest gang amp luck,negative
kumar bhattacharya rayeea mujeeb aquib muneeb kanhaiya khalid bashir rasool umar anirban hussain gul,neutral
kumar say incit chant kanhaiya antiindia slogan chargesheet mob page,neutral
z jnu,neutral
call like separate chargesheet rapist kin force arm freeloader,negative
aur comrade daught ek jnu aparajita dhakka jaaye india toot raja raja daniel anti protest tod,negative
jnu,neutral
kumar end jnu rashid antinational kanhaiya khalid shehla umar jail want amp retweet,positive
,neutral
kumar say police like would jnu chargesheet wa kanhaiya ji case fil modi sedition thank,positive
cbi shunt jnu alok chargesheet verma bjp election time vote amit yippee clear bank shah kanhayya,positive
democracy judgejury folk threaten decide tyranny cou prosecutorso,negative
rasid pakistan w jnu amp claim uri conference shehla attack student pres vindicat pathankot terror,negative
late sho jnu antinational nev political shock bett see suppo sedition charg,positive
el jnu yechury kanhaiya gandhi sitaram stand tweet co went solidarity rahul,positive
kumar congres tight here abvp nam slap khalid kanhaiya victory statement vindication amp abvp umar,positive
death afzal celebrat police jnu delhi terrorist need much anti action anniversa guru national taken,negative
police jnu slogan delhi chargesheet page antiindia umar fil amp khalid other,neutral
case police jnu hadn consistent nobody india chargesheet que gang fil tukdetukde sedition,negative
student testifi sh guard judge security,positive
ko takbe seen obnoxiou army indian bharat fre ragda slogan amp tukde like tere kashmir honge ki aazadi,negative
jnu chargesheet fil answ row,neutral
hai saja valo jnu nivedan kadi ko app de lagane virodhi dilao ji mera nare modi se,neutral
,neutral
jnu modi reason national larg possible charge pa student v anti scheme sedition,negative
date till bihar recover happy,positive
emulat leftist leader jnu m model lutyen violent long separatist role student communist,negative
jnu unate whole antiindian environment incident unfo kanhaiya ruin real,negative
nam daught d jnu commun raja delhi fath aparajitha today police tukde day painful gang,negative
case police kashmir team identify visit time,neutral
nam jnu raja shehla also lead case chargesheet raja fil sedition cpi daught d rashid aparajita,negative
ind stood jnu dear,positive
kumar raja j feb name jnu also aparajita chaegesheet jihadi kanhaiya khalid shehla umar student senior d,neutral
democracy jnu charge threaten tyranny u student act govt modi remind concern tha sedition,negative
aise jnu hogi agar hi dege bjp pravachan strong,positive
jnu,neutral
kumar via kanhaiya,neutral
case doctore delhi sheet tape jnu fil confirm quote charge police sedition,neutral
amu jnu,neutral
kumar celebrat forget jnu nev kanhaiya gang separatist amp condolence meet call con,positive
case jnu antinational fil chargesheet suppo gandhi statement rahul open sedition,neutral
case take fair probe shout gang time slogan,positive
z jnu,neutral
regard feb student protest national nation today anti came stepp issue acros road victory,negative
v,neutral
regard feb vict student protest national nation today anti came stepp issue acros road,negative
